title,link
엔저 불안에 日가계·기업 '脫엔화'…외화예금 4조엔 급증,https://n.news.naver.com/mnews/article/014/0005564548?sid=104
"엔화, 美 조기 금리인상 후퇴에 1달러=159엔대 중반 상승 출발",https://n.news.naver.com/mnews/article/003/0014134460?sid=104
엔저에 달러로 몰리는 日…외화예금 증가폭 28년만 최대,https://n.news.naver.com/mnews/article/277/0005805923?sid=104
美日 엔화 개입이 되레 '엔캐리' 부추겼다…해외자산 5조엔 순매수,https://n.news.naver.com/mnews/article/421/0009125548?sid=101
"사토시홀딩스 비트팔, 日 엔화 스테이블코인 'JPYC' 공식 지원",https://n.news.naver.com/mnews/article/003/0014137228?sid=101
"엔화, 국제 유가 상승에 1달러=158엔대 후반 하락 출발",https://n.news.naver.com/mnews/article/003/0014139886?sid=104
美日외환개입에 엔캐리 청산 우려…모니터링 필요,https://n.news.naver.com/mnews/article/001/0016264667?sid=101
"美재무, 엔화·국채 사들여 금리 잡기…과도 개입 논란",https://n.news.naver.com/mnews/article/018/0006354835?sid=101
물가압박 커진 日·유럽 ‘9월 금리인상론’ 확산,https://n.news.naver.com/mnews/article/011/0004655391?sid=104
“엔화 개입의 역설… 美 방어 없었다면 더 올랐을 것”[김혜란의 FX],https://n.news.naver.com/mnews/article/011/0004653040?sid=101
엔화 약세,https://n.news.naver.com/mnews/article/001/0016265445?sid=101
엔화 약세,https://n.news.naver.com/mnews/article/001/0016265451?sid=101
엔화 지금 몰아서 사면 안 된다…28년 만의 미일 개입엔 이유 있다,https://n.news.naver.com/mnews/article/003/0014130321?sid=101
"원·달러 환율, 1385.08원…보합권에서 등락 전망",https://n.news.naver.com/mnews/article/123/0002389087?sid=101
원화·엔화 급변에 보폭 맞추는 한·미·일…외환공조 더 끈끈해지나,https://n.news.naver.com/mnews/article/018/0006355809?sid=101
“대출 절차인 줄 알았다”…보이스피싱 피해금 전달한 40대 무죄,https://n.news.naver.com/mnews/article/666/0000120674?sid=102
美·日 엔화 개입에 캐리트레이드 지각변동…엔 대신 스위스프랑 뜬다,https://n.news.naver.com/mnews/article/421/0009121885?sid=101
美 국채 바이백에 달러 약세 우려…'엔화식 평가절하' 경계,https://n.news.naver.com/mnews/article/293/0000089401?sid=101
엔화와 달러화 환율 하락,https://n.news.naver.com/mnews/article/003/0014138015?sid=101
美국채 바이백 확대에 엔화 급등,https://n.news.naver.com/mnews/article/014/0005564321?sid=104
배우자 수술비 마련하려다 보이스피싱 연루…국민참여재판서 무죄,https://n.news.naver.com/mnews/article/421/0009133936?sid=102
"엔화, 중동 종전협상 난항에 1달러=159엔대 전반 하락 출발",https://n.news.naver.com/mnews/article/003/0014132125?sid=104
美 재무부 기습 국채매입에 달러화 약세…엔화는 3일 만에 반등,https://n.news.naver.com/mnews/article/018/0006354574?sid=101
"엔화, 미·일 금리차 축소 의식에 1달러당 158엔대 전반으로 상승",https://n.news.naver.com/mnews/article/003/0014138017?sid=101
"엔화, 미·일 금리차 축소 의식에 1달러당 158엔대 전반으로 상승",https://n.news.naver.com/mnews/article/003/0014138018?sid=101
"엔화, 미·일 금리차 축소 의식에 1달러당 158엔대 전반으로 상승",https://n.news.naver.com/mnews/article/003/0014138020?sid=101
엔화 가치 측정 '돈까스 카레 지수' 등장,https://n.news.naver.com/mnews/article/001/0016247612?sid=101
[밀물썰물] 슈퍼 엔저,https://n.news.naver.com/mnews/article/082/0001395613?sid=110
"한국선 30만원, 일본선 7만원…위고비·마운자로 불법 반입 1년새 급증",https://n.news.naver.com/mnews/article/448/0000635339?sid=102
美까지 나서 '엔화 방어'…결국 금리 인상 신호였나,https://n.news.naver.com/mnews/article/215/0001261906?sid=101
“엔저 막으려 美국채 팔자니 더 큰 문제”…일본이 꺼내든 엔화 방어 ...,https://n.news.naver.com/mnews/article/009/0005721587?sid=101
빅맥 대신 '돈가스 카레'…엔화 가치 측정해보니,https://n.news.naver.com/mnews/article/215/0001262144?sid=101
美·日 엔화 저지 공조 배경에 BOJ '조기 금리인상' 신호,https://n.news.naver.com/mnews/article/277/0005801600?sid=104
美日 엔화 공조 개입에 日금리 인상 빨라지나…내년 봄 1.5% 전망,https://n.news.naver.com/mnews/article/003/0014118779?sid=104
‘日정부 개입’ 엔화보다 4배 더 올랐다…원화값 한달새 9.4% 올라 ‘상...,https://n.news.naver.com/mnews/article/009/0005721158?sid=101
전 일본은행 정책위원 9월·내년 1월 금리인상 예상,https://n.news.naver.com/mnews/article/003/0014147463?sid=104
美·日 개입 '약발' 안 먹히네…엔화 다시 160엔 목전 [분석+],https://n.news.naver.com/mnews/article/015/0005319539?sid=101
미·일 공동개입 효과 벌써 반토막…엔화 다시 159엔대,https://n.news.naver.com/mnews/article/014/0005559882?sid=101
“빅맥지수 대신 카레지수...日 엔화 적정가치 62엔” [글로벌 왓],https://n.news.naver.com/mnews/article/011/0004651001?sid=104
엔화 159엔대 재추락…미·일 공동개입 약발 벌써 끝났나 [도쿄나우],https://n.news.naver.com/mnews/article/015/0005319422?sid=104
"WSJ 美 엔화부양 개입, 시장에 의도치 않은 '유동성' 부작용",https://n.news.naver.com/mnews/article/001/0016238353?sid=101
美 나서도 엔화 부양 어려운 이유…'엔 캐리'에는 엔화 팔 기회,https://n.news.naver.com/mnews/article/421/0009114376?sid=101
美日 엔화 공동개입 배경엔 일본은행 '조기 금리인상' 신호,https://n.news.naver.com/mnews/article/003/0014121187?sid=104
美국채금리 잡으려다 달러 흔드나…“日 엔화 약세 전철 위험”,https://n.news.naver.com/mnews/article/018/0006355984?sid=101
日 리서치회사 상반기 기업 파산 신청 12년 만 최대…엔화 약세에 중...,https://n.news.naver.com/mnews/article/448/0000634593?sid=104
"트럼프 행정부, 엔화 부양 고리로 원화값 회복 불 지피나",https://n.news.naver.com/mnews/article/001/0016233933?sid=101
외환시장 개입한 미 재무부...엔화가 아닌 미 국채를 구했다,https://n.news.naver.com/mnews/article/008/0005400641?sid=104
"엔화, 日 추가 금리인상 시사에 1달러=159엔대 전반 상승",https://n.news.naver.com/mnews/article/003/0014119594?sid=104
엔화 환율 다시 160엔 육박…미일 동시개입 효과 끝났나,https://n.news.naver.com/mnews/article/001/0016245478?sid=104
트럼프의 엔화부양 배경은…'美국채금리·대미투자 관리' 셈법,https://n.news.naver.com/mnews/article/001/0016231743?sid=101
엔화 방어 나설수록 매도 기회?…다시 돌아오는 엔캐리,https://n.news.naver.com/mnews/article/018/0006352115?sid=101
"일본, 지난 4월 56조 규모 엔화 매수...외환시장 개입",https://n.news.naver.com/mnews/article/052/0002390296?sid=104
엔화 방어에 美까지 동원한 日…닛케이 “통화 패전”,https://n.news.naver.com/mnews/article/011/0004650995?sid=104
美재무 원화 과도한 변동성…엔화약세면 다른 통화도 뒤따라,https://n.news.naver.com/mnews/article/001/0016233899?sid=104
